Longitude,Latitude
-76.916667,-1.25
-76.23333,-0.88333
-76.083333,-0.866667
-76.45,-0.66666
-76.38,-0.52
-76.17,0.9
-70.25,-3.78
-76.17,0.9
-70.67,-0.08
-66.392,1.092
-67.13,5.55
-66.83,5.82
-75.23138,-10.17277
-73.33,-4.58
-72.833333,-3.5
-72.8,-3.42
-73.75,-4.83
-70.333333,-3.183333
-70.5,-0.25
-70.5,0.083
-71.33,0.33
-73.773611,-5.976667
-73.83,-5.08
-73.75,-4.916667
-73.5,-4.166667
-73.08333,-3.83333
-59.966667,-2.883333
-77.62,-4.42
-65.867369,0.531955
-63.93,2.4567
-65.466667,3.633333
-65.5,3.72
-64.68,3.98
-59.813028,5.115889
-65.35,5.68
-59.9,5.03
-59.9667,5.1
-59.778,5.16589
-59.83106,5.3014
-60.07,5.47
-60.27369,5.6786
-61.144444,5.826667
-60.5995,5.92528
-60.66319,6.10314
