Longitude,Latitude
-78.41666,0.91666
-78.0914,1.28464
-76.876517,3.573533
-76.83,3.67
-81.116667,8.55
-80.688333,8.625833
-80.116667,8.666667
-80.5939,8.6714
-58.965,1.332778
-54.42,2.2
-54.8,2.45
-58.640833,2.980278
-59.27,3.15
-56.533,3.642
-58.95,3.98
-56.133333,4.683333
-53.76,2.38
-53.827778,2.505556
-54.029167,2.608333
-51.95,3.716667
-56.18333,4.68333
-55.7,4.73
-53.016667,2.366667
-53.1,2.41
-51.8,-3.88
-53.0056,2.3833
-54.75,2.483333
-53.366667,2.816667
-51.92,3.72
-52.73,3.82
-51.8,3.88
-56.03,3.913611
-56.1966,3.91367
-52.266667,4.583333
-52.4333,4.75
-52.38,4.8
-59.97,5.12
-59.48,5.18
-77.00481,18.04708
-79.65,9.066667
-84.76194,10.43055
-84.9853,10.58
-85.383333,12.283333
-89.601944,13.713056
-89.983333,13.816667
-85.154167,14.715278
-104.433333,19.616667
-75.06666,-10.53333
-75.25,-10.32
-74.858,-9.525
-75.7964,-9.1842
-73.65,-7.48
-76.918611,-6.098333
-78.5,-4.5
-78.173056,-4.467778
-78.666667,-4.316667
-78.95,-4.06666
-78.624167,-3.936944
-78.67,-3.83
-78.166667,-3.5
-77.63,-2.72
-78.15,-2.516667
-76.8,-2.516667
-78.11666,-2.33333
-76.96666,-2.08333
-77.93333,-1.83333
-79.13333,-1.56666
-78.1,-1.45
-77.6,-1.066667
-80.88333,-1.06666
-77.711667,-1.045833
-77.35,-0.92
-79.15,-0.86666
-77.448611,-0.748611
-77.33333,-0.71666
-75.5,-0.67
-79.36666,-0.58333
-76.38333,-0.51666
-78,-0.5
-77.83333,-0.5
-76.866667,-0.45
-76.51666,-0.43333
-78.9525,-0.320556
-76.51666,-0.11666
-75.86666,-0.08333
-78.631639,-0.048917
-75.86666,0.08333
-78.83,0.68
-78.9,0.8
-78.183333,0.933333
-78.21666,1.03333
-79,1.05
-78.63694,1.47361
-78.5,1.71666
-77,3.916667
-76.95,3.983333
-75.662972,4.596306
-75.583889,4.739583
-75.05203,5.50028
-75.7,5.72
-75.333333,6.166667
-75.03333,6.3
-77.666667,7.75
-83.336111,8.5494
-80.1,8.616667
-83.504722,8.671667
-83.6786,8.6786
-82.233333,8.75
-82.116667,8.95
-79.67527,9.04833
-79.75,9.133333
-79.841667,9.156944
-70.02,9.25
-79.583333,9.333333
-79.583333,9.4
-69.854833,9.404
-83.5931,9.4708
-84.583333,9.75
-84.153243,9.920766
-84.16,10.23
-84.8,10.3
-84.166667,10.3
-84.6583,10.4528
-66.93,10.47
-85.36,10.69
-84.8,10.716667
-72.4917,10.8694
-83.71666,10.91666
-85.4278,10.9906
-84.45472,11.055
-84.533333,11.083333
-84.3725,11.126111
-85.966667,11.833333
-84.61475,11.923133
-84.963056,12.029445
-86.26666,12.05
-85.08333,12.06666
-84.21666,12.15
-84.3,12.16666
-85.283555,12.267611
-85.216667,12.966667
-85.816667,12.983333
-85.91666,13
-85.91666,13.06666
-85.75,13.06666
-86,13.066667
-85.86666,13.18333
-85.66666,13.23333
-85.366667,13.25
-86.26666,13.26666
-86.16666,13.26666
-85.516667,13.266667
-85.68333,13.36666
-86.56666,13.41666
-86.240278,13.416667
-85.73333,13.51666
-85.61666,13.51666
-84.8375,13.69166
-84.766667,13.733333
-85.05833,13.74166
-84.875,13.75833
-85.430278,14.1
-85.320833,14.230278
-85.133333,14.316667
-83.783333,14.433333
-88.8,14.48333
-84.78333,14.58333
-83.96666,14.73333
-88.86666,14.98333
-86.116667,15
-85.806944,15.135
-85.51722,15.14194
-90.25,15.25
-89.208,15.417
-92.633333,15.45
-96.4,15.866667
-96.2692,15.8956
-85.93333,15.9
-96.1717,15.9381
-97.083333,16.183333
-93.596111,16.210556
-94.1417,16.7
-88.96666,16.73333
-88.58,16.75
-98.235,16.79
-98.6902,16.8157
-98.61978,16.82549
-93.45,16.88
-93.266667,16.883333
-92.37,16.89
-94.68,16.9083
-97.883333,16.966667
-92.833333,17
-97.866667,17.048611
-88.65914,17.10989
-88.766667,17.166667
-94.52,17.27
-100.28,17.28
-95.992222,17.291111
-93.598611,17.365
-100.2008,17.3811
-92.666667,17.5
-92.884167,17.552222
-96.359167,17.633889
-96.416667,17.666667
-96.53555,17.70305
-96.316667,17.733333
-96.3933,17.8467
-76.3828,18.02
-66.051944,18.111944
-77.261529,18.19804
-65.95761,18.28153
-65.8528,18.2919
-95.083333,18.516667
-97.3233,19.9967
-97.56049,20.05336
-97.67505,20.21591
-90.25,15.53
-91.640555,16.096389
-89.126111,16.398056
-94.06,16.5
-89.01666,16.63333
-88.98333,16.7
-92.370278,16.872222
-96.033333,17.3
-97.56514,19.94128
-97.511111,20.009722
-98.0223,20.29831
-79.25,-3.75
-79.28,-3.67
-79.21666,-3.6
-78.68,-3.02
-78.37,-0.2
-78.516667,0.183333
-77.7,0.58
-65.85,-17.233333
-67.13,-16.85
-67.8,-16.3
-75.484722,4.816667
-75.351944,-10.53
-72.848533,7.438233
-70.1875,9.1706
-70.3,9.35
-84.108011,9.677931
-70.13,9.68
-83.7806,9.6972
-83.95,9.7222
-84.1289,9.8594
-84.12,10.12
-84.3119,10.2028
-74.056317,11.11065
-77.7186,-6.9917
-77.726944,-6.820278
-78.040361,-6.240972
-79.1319,-4.4956
-75.37,-10.57
-76.683333,1.966667
-76.15,6.616667
-77.69,-6.695556
-79.43,-4.71
-79.45,-4.63
-68.1,-16.13
-72.543056,-13.194444
-77.674722,-7.035278
-79.45,-4.25
-76.33714,1.50297
-76.92556,1.5445
-71.1333,8.5667
-70.183333,9.166667
-70.3,9.35
-68,-17
-75.35833,-10.54527
-75.45444,-10.43611
-75.601667,-10.322222
-77.6544,-6.9922
-77.8,-6.75
-77.69,-6.6956
-78.433333,0.816667
-79.33,-4.58
-79.17,-4.08
-79.12,-3.97
-78.655329,-2.762595
-78.22,0.28
-78.43,0.33
-76.90358,2.68831
-76.98333,2.75
-76.57,3.5
-76.294917,4.742083
-75.995,4.79722
-75.8,5.31666
-75.51666,6.38333
-75.5333,7.17
-78.683333,-3.016667
-79.333333,-4.583333
-79.13,-4.5
-79.17,-4.45
-79.95,-4
-79.146667,-3.992222
-79.27,-3.98
-79.26666,-3.9
-79.28,-3.67
-79.35,-3.2
-78.68,-3.02
-79.075314,-2.917677
-78.83,-2.67
-78.67,-2.6
-78.93,-1.97
-79.02,-0.92
-78.63,-0.83
-78.816667,-0.633333
-77.87,-0.57
-78.47,-0.45
-78.07,-0.37
-77.93,-0.37
-78.65,-0.3
-78.633333,-0.166667
-78.589444,-0.116667
-78.27,0.17
-78.35,0.23
-78.22,0.28
-77.984562,0.303616
-77.7,0.58
-77.57,0.63
-78.43,0.82
-78.03,0.85
-76.683333,1.966667
-75.58,4.67
-75.45,4.783333
-75.27,5.62
-73.455917,5.705983
-75.5467,6.22
-75.6,6.57
-75.533333,6.833333
-72.0583,7.9917
-71.73,8.25
-79.27,-3.62
-79.25,-3.55
-79.33,-3.5
-79.17,-3.42
-79.16666,-3.33333
-79.06666,-3.33333
-79.05,-3.27
-79.2,-3.25
-79.12,-3.23
-78.92,-3.23
-79.08,-3.17
-79.03,-3.13
-79.08333,-3.05
-79.083333,-2.916667
-77.6544,-6.9922
-75.67,4.28
-77.6544,-6.9922
-74.72,-9.42
-77.8989,-6.9222
-77.8,-6.75
-77.75,-6.666667
-77.9583,-6.43117
-77.67,-6.25
-77.78333,-5.68333
-78.583333,-3
-79.95,-4.11666
-79.9044,-4.0639
-79.21666,-3.6
-79.07888,-3.98305
-79.3064,-3.6997
-78.87055,-3.29222
-78.804972,-3.177444
-78.7083,-2.9603
-78.066667,-2.533333
-69.0189,-14.7836
-77.8,-6.75
-79.6,-5.4
-79.0786,-3.9733
-78.93,-1.97
-78.48333,-1.51666
-79.02,-0.92
-78.45,-0.45
-78.65,-0.3
-78.55,-0.08
-78.36666,0.03333
-78.3333,0.216667
-77.6983,-6.9456
-77.6725,-6.8386
-79.17,-4.08
-79.2,-4
-79.25,-3.92
-79.15,-3.91666
-79.02833,-3.7575
-79.28,-3.67
-78.88,-3.33
-78.77,-3.194167
-78.64905,-3.00425
-78.61666,-2.8
-78.43,0.33
-75.356667,-10.545833
-75.6575,-10.381944
-75.45,-10.38
-79.12,-4.38
-79.18333,-4.33333
-75.45,4.783333
-75.87527,7.33722
-79.49,-3.61
-79.4522,-2.705
-79.17,-1.75
-79.17,-1.67
-78.8,-1.47
-78.73,0.12
-61.15,-14.7
-60.9308,-14.5578
-61.208333,-13.319722
-67.25,-13.08333
-66.12,-11.87
-66.03,-11.75
-65.268507,-9.827684
-64.91817,-9.610466
-63.9053507670111,-8.76545482615147
-63.8367,-8.1861
-63.595,-8.0747
-63.187566,-7.592537
-63.078582,-7.550814
-63,-7.52
-63.920817,-7.477113
-63.207436,-7.39511
-64.7678,-7.2808
-62.13,-6.97
-58.666667,-4.366667
-59.0953501374155,-3.89146469435751
-59.984695,-3.196117
-60.583333,-3.033333
-67.33,-15.5
-68.1667,-15.25
-67.03,-15.18
-67.5364,-14.4389
-67.92,-14.15
-70.3444,-13.0458
-73.2522,-12.6747
-66.03,-11.85
-66.033333,-11.75
-67.610308,-10.049096
-67.3994549497641,-8.75570027325358
-72.745852819144,-8.27206623411049
-72.67,-7.5
-72.5,-7.5
-73.75,-4.83
-67.057926,-1.921815
-46.537506,-1.765546
-68.25,-1.583333
-48.5048914402718,-1.45916692955784
-72.38,-0.62
-67.0908182152703,-0.133569081695946
-71.158152,0.071602
-67.924154,0.169258
-68.512137,0.225176
-65.867369,0.531955
-70.5,0.67
-67.5,2.666667
-53.2,3.61
-52.333333,4.933333
-53.02,5
-67.4753,5.03073
-52.92,5.27
-53,5.333333
-66.1583,5.68
-68.51666,-15.38333
-61.016667,-13.533333
-67.25,-13.08
