species,Longitude,Latitude
Aciotis_rubricaulis,-84.3,11.716667
Aciotis_rubricaulis,-84.878611,12.150556
Aciotis_rubricaulis,-84.3,12.166667
Aciotis_rubricaulis,-85,12.833333
Aciotis_rubricaulis,-85.516667,13.266667
Aciotis_rubricaulis,-84.616667,13.966667
Aciotis_rubricaulis,-85.516667,14
Aciotis_rubricaulis,-84.633333,14.066667
Aciotis_rubricaulis,-83.666667,14.1
Acisanthera_alsinaefolia,-56.65,-28.066667
Acisanthera_alsinaefolia,-48.7067,-25.3208
Acisanthera_alsinaefolia,-55.416667,-24.083333
Acisanthera_alsinaefolia,-60.8986,-16.4892
Acisanthera_ayangannae,-59.9624,5.39883
Acisanthera_ayangannae,-60.22,5.68
Acisanthera_quadrata,-49.6,-29.13
Acisanthera_quadrata,-55.33,-26.17
Acisanthera_quadrata,-57.53,-25.45
Acisanthera_quadrata,-55.92,-25.42
Acisanthera_quadrata,-57.12,-25.2
Acisanthera_quadrata,-57.25,-25.133333
Acisanthera_quadrata,-47.12,-22.18
Acisanthera_quadrata,-44.65,-21.5
Acisanthera_quadrata,-43.5,-20.333333
Acisanthera_quadrata,-43.5,-19.166667
Acisanthera_quadrata,-63.67,-17.42
Acisanthera_quadrata,-62,-16
Acisanthera_quadrata,-49.5,-15.833333
Acisanthera_quadrata,-42.5,-14.116667
Acisanthera_quadrata,-66.4,-14.1
Acisanthera_quadrata,-61.53281,-13.70297
Acisanthera_quadrata,-60.8,-13.65
Acisanthera_quadrata,-41.82,-13.63
Acisanthera_quadrata,-44.67,-13.25
Acisanthera_quadrata,-44.78,-13.12
Acisanthera_quadrata,-41.503972,-12.872278
Acisanthera_quadrata,-63,-7.52
Acisanthera_quadrata,-61.42,-3.33
Acisanthera_quadrata,-60.58,-3.03
Acisanthera_quadrata,-50.97,1.75
Acisanthera_quadrata,-59.33,2.42
Acisanthera_quadrata,-59.25,2.5
Acisanthera_quadrata,-59.15,2.82
Acisanthera_quadrata,-59.42,2.83
Acisanthera_quadrata,-61.416667,3.333333
Acisanthera_quadrata,-59.68,3.47
Acisanthera_quadrata,-76.87653,3.57353
Acisanthera_quadrata,-76.95,3.983333
Acisanthera_quadrata,-58.8492,4.3422
Acisanthera_quadrata,-61.05,4.75
Acisanthera_quadrata,-60.03,4.8
Acisanthera_quadrata,-60.68,4.93
Acisanthera_quadrata,-54.05,5.38
Acisanthera_quadrata,-67.679672,5.692625
Acisanthera_quadrata,-67.33,5.8
Acisanthera_quadrata,-68.78,6.18
Acisanthera_quadrata,-69.908,6.211128
Acisanthera_quadrata,-75.05,6.3
Acisanthera_quadrata,-66.75,6.583333
Acisanthera_quadrata,-63.5,6.75
Acisanthera_quadrata,-66.5,6.833333
Acisanthera_quadrata,-75.08,6.92
Acisanthera_quadrata,-70.741869,7.013092
Acisanthera_quadrata,-62.08,7.07
Acisanthera_quadrata,-62.45,7.466667
Acisanthera_quadrata,-69.5,7.5
Acisanthera_quadrata,-72.058,7.525
Acisanthera_quadrata,-81.07777,8.14166
Acisanthera_quadrata,-80.359766,8.530885
Acisanthera_quadrata,-82.083333,8.75
Acisanthera_quadrata,-68.0869,8.936767
Acisanthera_quadrata,-63.5,9.03
Acisanthera_quadrata,-69.82,9.07
Acisanthera_quadrata,-67.9,9.1
Acisanthera_quadrata,-83.333333,9.15
Acisanthera_quadrata,-67.9,9.7
Acisanthera_quadrata,-67.9,9.833
Acisanthera_quadrata,-67.9,9.9
Acisanthera_quadrata,-61.337606,10.602264
Acisanthera_quadrata,-85.5,11.033333
Acisanthera_quadrata,-84.898889,11.631944
Acisanthera_quadrata,-83.733333,11.65
Acisanthera_quadrata,-84.966667,11.716667
Acisanthera_quadrata,-83.75,12
Acisanthera_quadrata,-85.08333,12.06666
Acisanthera_quadrata,-85.246944,12.193611
Acisanthera_quadrata,-85.08333,12.26666
Acisanthera_quadrata,-83.679444,12.336667
Acisanthera_quadrata,-85.271944,12.343333
Acisanthera_quadrata,-83.716667,12.65
Acisanthera_quadrata,-84.5,13.533333
Acisanthera_quadrata,-84.283333,13.55
Acisanthera_quadrata,-86.03333,13.76666
Acisanthera_quadrata,-88.083333,13.916667
Acisanthera_quadrata,-84.216667,13.95
Acisanthera_quadrata,-83.4,14.016667
Acisanthera_quadrata,-83.666667,14.1
Acisanthera_quadrata,-86.566667,14.116667
Acisanthera_quadrata,-83.483333,14.15
Acisanthera_quadrata,-83.2,14.316667
Acisanthera_quadrata,-83.78333,14.43333
Acisanthera_quadrata,-83.983333,14.533333
Acisanthera_quadrata,-83.5,14.683333
Acisanthera_quadrata,-87.933333,14.7
Acisanthera_quadrata,-83.78333,14.71666
Acisanthera_quadrata,-83.96666,14.73333
Acisanthera_quadrata,-84.033333,14.733333
Acisanthera_quadrata,-83.883333,14.75
Acisanthera_quadrata,-84.21666,15
Acisanthera_quadrata,-83.76666,15.26666
Acisanthera_quadrata,-85.715278,15.555556
Acisanthera_quadrata,-85.9083,15.9583
Acisanthera_quadrata,-88.67619,16.48169
Acisanthera_quadrata,-88.7,16.55
Acisanthera_quadrata,-88.3,17.016667
Acisanthera_quadrata,-88.559444,17.341389
Acisanthera_quadrata,-77.836727,18.134238
Acisanthera_quadrata,-77.360579,18.193687
Acisanthera_quadrata,-77.613752,18.247545
Acisanthera_quadrata,-66.4417,18.46528
Acisanthera_quadrata,-69.8333,18.8333
Acisanthera_quadrata,-69.38,18.9583
Acisanthera_quadrata,-69.5,19
Acisanthera_quadrata,-75.910935,20.424291
Acisanthera_quadrata,-74.929103,20.648235
Acisanthera_quadrata,-78.0056,21.5667
Acisanthera_quadrata,-77.756928,21.618659
Acisanthera_quadrata,-79.618941,21.870604
Acisanthera_quadrata,-79.65613,21.970487
Acisanthera_quadrata,-84.189393,22.042878
Acisanthera_quadrata,-84.150526,22.117714
Acisanthera_quadrata,-84.216868,22.185365
Acisanthera_quadrata,-83.71198,22.283868
Acisanthera_quadrata,-83.414962,22.516586
Acisanthera_quadrata,-83.32801,22.549539
Acisanthera_quadrata,-80.355687,22.607964
Acisanthera_quadrata,-83.717958,22.62582
Acisanthera_quadrata,-83.769465,22.785686
Acisanthera_quadrata,-80.689408,22.899127
Acisanthera_quadrata,-81.5886,26.0777
Acisanthera_uniflora,-61.532806,-13.702972
Acisanthera_uniflora,-50.27,-2.35
Acisanthera_uniflora,-52.71,4.72
Acisanthera_uniflora,-52.333333,4.733333
Acisanthera_uniflora,-52.956792,5.376764
Acisanthera_uniflora,-76.322139,6.539861
Acisanthera_uniflora,-63.5,6.75
Acisanthera_uniflora,-70.743144,7.013531
Acisanthera_variabilis,-55.77825,-15.432
Adelobotrys_acreana,-73.833333,-5.083333
Adelobotrys_adscendens,-69.83333,-13.5
Adelobotrys_adscendens,-71.2,-12.916667
Adelobotrys_adscendens,-75.22,-10.2
Adelobotrys_adscendens,-75.392222,-10.151944
Adelobotrys_adscendens,-74.8,-9.467
Adelobotrys_adscendens,-78.316667,-4.916667
Adelobotrys_adscendens,-78.162222,-4.632222
Adelobotrys_adscendens,-78.233611,-4.580278
Adelobotrys_adscendens,-78.63333,-4.5
Adelobotrys_adscendens,-78.5,-4.5
Adelobotrys_adscendens,-78.166667,-4.466667
Adelobotrys_adscendens,-78.92,-4.18
Adelobotrys_adscendens,-77.7,-3.91666
Adelobotrys_adscendens,-78.4153,-3.5106
Adelobotrys_adscendens,-73.01666,-3.5
Adelobotrys_adscendens,-78.57,-3.48
Adelobotrys_adscendens,-78.271389,-3.179167
Adelobotrys_adscendens,-77.94666,-1.57611
Adelobotrys_adscendens,-78.1,-1.45
Adelobotrys_adscendens,-76.38333,-0.68333
Adelobotrys_adscendens,-77.31666,-0.63333
Adelobotrys_adscendens,-79.3,-0.61666
Adelobotrys_adscendens,-76.465278,-0.6075
Adelobotrys_adscendens,-79.36666,-0.58333
Adelobotrys_adscendens,-79.32611,-0.25055
Adelobotrys_adscendens,-76.2,0
Adelobotrys_adscendens,-79.033333,0.083333
Adelobotrys_adscendens,-76.725,0.13055
Adelobotrys_adscendens,-79.066667,0.15
Adelobotrys_adscendens,-79.73,0.35
Adelobotrys_adscendens,-78.666667,1.25
Adelobotrys_adscendens,-58.9569,1.3553
Adelobotrys_adscendens,-75.89408,1.44847
Adelobotrys_adscendens,-59.239722,1.528611
Adelobotrys_adscendens,-59.25,2
Adelobotrys_adscendens,-59.5,2.75
Adelobotrys_adscendens,-77.3026,3.278725
Adelobotrys_adscendens,-76.876517,3.573533
Adelobotrys_adscendens,-56.535,3.64
Adelobotrys_adscendens,-77.086963,4.072312
Adelobotrys_adscendens,-52.47,4.57
Adelobotrys_adscendens,-59.72,4.68
Adelobotrys_adscendens,-53.03333,4.98333
Adelobotrys_adscendens,-59.88,5.07
Adelobotrys_adscendens,-52.92,5.25
Adelobotrys_adscendens,-77.4,5.4
Adelobotrys_adscendens,-53.96,5.51
Adelobotrys_adscendens,-76.6809,5.609383
Adelobotrys_adscendens,-58.35,5.61
Adelobotrys_adscendens,-59.9,5.95
Adelobotrys_adscendens,-77.378617,6.2747
Adelobotrys_adscendens,-74.75,6.5
Adelobotrys_adscendens,-58.6,6.62
Adelobotrys_adscendens,-77.45,6.85
Adelobotrys_adscendens,-58.7,7.17
Adelobotrys_adscendens,-75.07,7.3
Adelobotrys_adscendens,-77.8,7.58333
Adelobotrys_adscendens,-74.92,8.33
Adelobotrys_adscendens,-83.343056,8.416667
Adelobotrys_adscendens,-81.116667,8.5
Adelobotrys_adscendens,-80.1165,8.630667
Adelobotrys_adscendens,-83.1633,8.6531
Adelobotrys_adscendens,-77.5,8.75
Adelobotrys_adscendens,-83.37,8.77
Adelobotrys_adscendens,-80.654167,8.887778
Adelobotrys_adscendens,-80.6825,9.003889
Adelobotrys_adscendens,-79.85833,9.15277
Adelobotrys_adscendens,-79.4017,9.2411
Adelobotrys_adscendens,-83.5,9.25
Adelobotrys_adscendens,-72.47,9.3
Adelobotrys_adscendens,-78.916667,9.316667
Adelobotrys_adscendens,-83.692948,9.352396
Adelobotrys_adscendens,-84.39,9.7
Adelobotrys_adscendens,-84.607778,10.214722
Adelobotrys_adscendens,-84.17333,10.26444
Adelobotrys_adscendens,-84.083333,10.266667
Adelobotrys_adscendens,-84.716667,10.316667
Adelobotrys_adscendens,-84.1,10.4
Adelobotrys_adscendens,-84.01666,10.43333
Adelobotrys_adscendens,-83.96666,10.8
Adelobotrys_adscendens,-84.45,10.816667
Adelobotrys_adscendens,-85.35,10.85
Adelobotrys_adscendens,-85.333333,10.916667
Adelobotrys_adscendens,-85.436556,10.947574
Adelobotrys_adscendens,-84.266667,10.983333
Adelobotrys_adscendens,-84.2,11.016667
Adelobotrys_adscendens,-85.421667,11.033333
Adelobotrys_adscendens,-84.34888,11.06638
Adelobotrys_adscendens,-84.183333,11.15
Adelobotrys_adscendens,-84.27833,11.16138
Adelobotrys_adscendens,-84.016667,11.366667
Adelobotrys_adscendens,-84.042,12.167
Adelobotrys_adscendens,-84.016667,12.3
Adelobotrys_adscendens,-85.93333,12.93333
